Date,Community,Dead,Injured,Total,Description
"July 5, 2018","Los Angeles, California (3)",3,3,6,Three people were killed and three others were wounded during a Fourth of July party. Police believe the shooting was gang-related.[187]
"July 5, 2018","Virginia Beach, Virginia (2)",0,6,6,Six people were injured while walking down the street. A suspect was taken into custody.[188]
"July 5, 2018","Lima, Ohio (1)",1,5,6,One person was killed and five were injured in a shooting at a Fourth of July party.[189]
"July 4, 2018","Gary, Indiana (2)",1,3,4,One person was killed and three were wounded.[190]
"July 4, 2018","Atlanta, Georgia (1)",1,3,4,"After a bar fight spilled into a parking lot, shots were fired, killing one person and wounding three others.[191]"
"July 3, 2018","St. Louis, Missouri (5)",1,5,6,One person was killed and five others were wounded in a drive-by shooting.[192]
"July 3, 2018","Washington, District of Columbia (4)",0,4,4,Four people were injured in a shooting.[193]
"July 2, 2018","Buffalo, New York (3)",2,2,4,"A woman and a 17-month-old child were killed in a shooting that injured two others. One person was taken into custody, although police suspect others were involved. Police believe the shooting was gang-related.[194]"
"July 1, 2018","Chicago, Illinois (10)",0,6,6,"Six people were injured when a gunman opened fire on three people on a sidewalk. In addition to the three people on the sidewalk, three children in a car were wounded.[195]"
"June 30, 2018","Ashburn, Georgia",1,6,7,"Several shooters fired into a crowd that was fleeing a nightclub, killing one person and injuring six. Police arrested one suspect, and believe the shooting was gang-related.[196]"
"June 30, 2018","Baltimore, Maryland (2)",0,6,6,Six people were injured at a barbecue when an unknown person walked into the yard and began firing.[197]
"June 30, 2018","Jersey City, New Jersey (1)",0,5,5,Five people were injured when several people began exchanging gunfire. One suspect was arrested.[198]
"June 28, 2018","Annapolis, Maryland",5,2,7,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.[199][200]
"June 27, 2018","Oakland, California (1)",1,3,4,One person was killed and three were injured when at least one person began shooting at them outside a mini-mart.[201]
"June 27, 2018","San Antonio, Texas (2)",0,4,4,"During an argument between neighbors, two people drew weapons and wounded four people. One suspect was arrested.[202]"
"June 27, 2018","Hartford, Connecticut",0,4,4,Four victims were injured in a drive-by shooting outside a bodega.[203]
"June 25, 2018","Chicago, Illinois (9)",0,6,6,Six people were injured when a gunman began firing upon them as they stood near a park.[204]
"June 24, 2018","Sanford, North Carolina",1,6[n 1],7,One person was killed and six were injured during a fight at a birthday party. One of the wounded was arrested.[205]
"June 24, 2018","Punta Gorda, Florida",0,4,4,Four people were wounded when an uninvited guest at a birthday party at an event center began shooting.[206]
"June 24, 2018","Indiantown, Florida",0,4,4,Four people were injured in a shooting at a block party.[207]
"June 24, 2018","Palm Beach Gardens, Florida (2)",1,3,4,One person was killed and three were injured in a shooting.[208] Six teenage suspects were arrested in relation to the shooting after leading police on a car chase.[209]
"June 24, 2018","Gary, Indiana (1)",1,3,4,One person was killed and three were wounded in a shooting.[210]
"June 24, 2018","Sandusky, Ohio",0,5,5,"After several fights inside a bar led the bar owner to close for the night, the fights continued outside before escalating to a shooting in which five people were wounded.[211]"
"June 23, 2018","Wichita, Kansas",0,4,4,Four people were injured in a gang-related shooting.[212]
"June 23, 2018","Chicago, Illinois (8)",1,4,5,One person was killed and four others were injured after being shot at from a vehicle.[213]
"June 23, 2018","Covington, Tennessee",0,4,4,Four people were injured in a shooting.[214]
"June 22, 2018","Homestead, Pennsylvania",1,3,4,One person was killed and three were injured when their car was shot at from another car.[215]
"June 21, 2018","San Bernardino, California (1)",1,3,4,One person was killed and three were wounded in a fight that progressed to a shooting outside of a liquor store.[216]
"June 21, 2018","Morganza, Louisiana",0,4,4,Four people were wounded in a shooting.[217]
"June 21, 2018","Chicago, Illinois (7)",0,4,4,Four people were wounded in a shooting.[218]
"June 20, 2018","Modesto, California (2)",0,5,5,Five people were injured when someone drew a gun and began shooting during a fight.[219]
"June 19, 2018","Huntsville, Alabama (2)",0,4,4,A man returned after an argument and wounded four people. He was later taken into custody.[220]
"June 18, 2018","Chicago, Illinois (6)",2,3,5,Two people were killed and three people were injured in a shooting after a fight at a party.[221]
"June 18, 2018","Bloomington, Illinois (2)",3,1,4,Three people were killed and a four-year-old child was wounded in a shooting.[222]
"June 17, 2018","Charlotte, North Carolina",0,4,4,Four people were injured in a shooting at a gas station.[223]
"June 17, 2018","Trenton, New Jersey (1)",1[n 4],22[n 4][n 8],23,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[224]
"June 17, 2018","Macon, Georgia",1,3,4,A teenager was killed and three other people were injured in a drive-by shooting during a cookout. A 15-year-old was later charged with the killing.[225]
"June 17, 2018","Chicago, Illinois (5)",0,4,4,A gunman walked up to and wounded four people standing on the street.[226]
"June 14, 2018","Philadelphia, Pennsylvania (4)",0,4,4,Four people were injured in a shooting.[227]
"June 14, 2018","Union City, California",0,5,5,Five people were injured in a shooting that took place in a cemetery.[228]
"June 14, 2018","Tracy, California",1,4,5,A fight turned into a shooting that resulted in a 15-year-old being killed and four other people being injured.[229]
"June 14, 2018","Buffalo, New York (2)",1,4,5,One person was killed and four were wounded in a drive-by shooting.[230]
"June 14, 2018","Westminster, Colorado",1,3,4,"A 13-year-old boy was killed, and his mother, 8-year-old brother, and a bystander were wounded in a road rage incident after the shooter followed them to the parking lot of a dentist's office. The shooter was arrested.[231]"
"June 12, 2018","New York City, New York (3)",0,4,4,Four people were injured in a shooting in the Bronx.[232]
"June 11, 2018","Montgomery, Alabama",0,4,4,Four people were injured in a shooting after a verbal altercation. Three suspects were arrested.[233]
"June 11, 2018","Orlando, Florida (2)",5[n 1],1,6,"After barricading himself and his four children in a home for nearly 24 hours, a man shot and wounded a police officer before killing the four children and himself.[234]"
"June 10, 2018","Bradenton, Florida",1,5,6,One person was killed and five others were injured after a fight in a bar moved outside and a member of one of the groups began shooting.[235]
"June 10, 2018","Valley Village, California",0,6,6,Six people were injured by gunfire at a birthday party.[236]
"June 10, 2018","Indianapolis, Indiana (2)",1,4,5,A 14-year-old boy was killed and four other people were wounded at a party. A 14-year-old boy was arrested in connection to the shooting.[237]
"June 10, 2018","Aurora, Illinois",0,7,7,"Seven people were injured after gunfire broke out at a party. Several men arrived at the home and began to shoot, and an attendee at the party shot back. The police believe the incident was gang-related.[238]"
"June 10, 2018","Bloomington, Illinois (1)",2,2,4,Two people were killed and two others were wounded after a shooting at a birthday party. The suspect was later taken into custody.[239]
"June 10, 2018","Chicago, Illinois (4)",1,5,6,One person was killed and five others were injured in a drive-by shooting.[240]
"June 9, 2018","Boston, Massachusetts",0,4,4,Four people were injured in a shooting at a house party.[241]
"June 9, 2018","Kannapolis, North Carolina",0,4,4,Four people were wounded after a gunman began shooting outside a high school graduation party.[242]
"June 9, 2018","Philadelphia, Pennsylvania (3)",1,4,5,Four or five gunmen killed one person and injured four others.[243]
"June 5, 2018","Jacksonville, Florida (2)",3,1,4,Three men were killed and a fourth was injured after a car pulled up alongside theirs and the occupant began shooting.[244]
"June 3, 2018","Dallas, Texas (1)",0,5,5,"After an argument at a football game, a man drove a moped into the middle of the field and began to fire a gun. Multiple people then began firing at the shooter. Five people were injured in the exchange of gunshots.[245]"
"June 3, 2018","Chicago, Illinois (3)",1,3,4,One person was killed and three others were wounded by two gunmen in a drive-by shooting.[246]
"June 2, 2018","Omaha, Nebraska (3)",1,6,7,One person was killed and six others were injured in a shooting. A suspect was taken into custody.[247]
"June 2, 2018","Buffalo, New York (1)",0,5,5,Five people were injured in a shooting at an outdoor gathering.[248]
"May 31, 2018","Timmonsville, South Carolina",3,2,5,"A man killed a woman and two of her daughters, and injured her husband and her third daughter, when he shot them at their home. He has been arrested.[249]"
"May 27, 2018","Shreveport, Louisiana (2)",0,4,4,Four people were injured in a shooting on the bank of the Red River.[250]
"May 27, 2018","Aurora, Colorado",1,3,4,A fight in a nightclub spilled into the parking lot and resulted in a shooting that killed one person and injured three others.[251]
"May 25, 2018","Cincinnati, Ohio (1)",0,4,4,A shooting broke out after a man tried to rob a group of people playing dice. Four people were injured by gunshots. Two men were arrested.[252]
"May 20, 2018","Anderson, Indiana",0,4,4,Four people were wounded in a shooting at a block party.[253]
"May 20, 2018","Hazlehurst, Mississippi",1,7,8,"Two suspects fired shots into a nightclub, killing one person and wounding seven others.[254]"
"May 18, 2018","Santa Fe, Texas",10,14[n 1],24,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.[255]"
"May 16, 2018","Ponder, Texas",5[n 1],1,6,A man wounded his ex-wife and killed their three children and his ex-wife's boyfriend before killing himself in a murder–suicide.[256]
"May 14, 2018","Baltimore, Maryland (1)",0,4,4,Four men were wounded in a shooting near a playground.[257]
"May 13, 2018","Stockton, California",3,2,5,"A shooter fired into a home, killing a five-year-old girl and her parents, and wounding two other family members.[258]"
"May 13, 2018","Byhalia, Mississippi",0,4,4,"A man opened fire at a block party, possibly after a fight over a dice game, wounding four people. The suspect was arrested.[259][260]"
"May 13, 2018","Los Angeles, California (2)",2,2,4,A man killed one teenage boy and wounded three others. One of the wounded boys died in the hospital several days later.[261]
"May 12, 2018","Omaha, Nebraska (2)",0,7,7,Seven people were wounded in a shooting.[262]
"May 12, 2018","Paulsboro, New Jersey",0,4,4,Four people were injured by gunfire in a shooting following a fight at a birthday party.[263]
"May 11, 2018","St. Louis, Missouri (4)",0,4,4,Two children and two adults were injured when shooters fired at them from two cars.[264]
"May 11, 2018","Talihina, Oklahoma",1[n 1],4,5,"Four police officers were injured in a shootout while trying to execute a search warrant, either by gunfire or from shrapnel from explosives in the home. The suspect was killed.[265]"
"May 9, 2018","Omaha, Nebraska (1)",0,4,4,Four people were injured in a suspected drive-by shooting outside an apartment complex.[266]
"May 9, 2018","St. Louis, Missouri (3)",0,4,4,Four people were wounded in a shooting.[267]
"May 7, 2018","San Diego, California",0,5,5,Two men approached a group of people and wounded four people. A fifth victim was shot and wounded several blocks away. Police believe the first attack was gang-related.[268]
"May 6, 2018","Stillwater, Oklahoma",0,4,4,"After a fight and theft from the bar and a tip jar, private security shut down a party. As the guests left, several weapons were fired and four people were injured.[269]"
"May 6, 2018","Memphis, Tennessee (2)",2,4,6,Two people were killed and four were injured after they were shot while traveling in a car by a gunman in another car.[270]
"May 5, 2018","Columbus, Georgia",0,5,5,Five people were injured in a shooting. A suspect was arrested.[271]
"May 4, 2018","Henderson, North Carolina",0,4,4,Four people were injured in a shooting.[272]
"May 4, 2018","Chicago Heights, Illinois",0,4,4,A shooting at a house party wounded four people.[273]
"May 2, 2018","Chicago, Illinois (2)",1,4,5,"A man shot at a group of people from a car, killing one and wounding four. He and the driver of the car were later arrested.[274]"
"May 2, 2018","Minneapolis, Minnesota (1)",0,6,6,Six people were wounded after guns were fired following an argument at a housing complex. Three people were arrested.[275]
"May 2, 2018","New York City, New York (2)",1,4,5,One person was killed and four were wounded following a shooting outside of a Brooklyn apartment complex.[276]
"May 1, 2018","New Orleans, Louisiana (4)",0,5,5,Five people were injured in a shooting.[277]
"April 30, 2018","Pompano Beach, Florida",0,4,4,A man pulled out a gun after being punched during an after-party at a club and wounded four people.[278]
"April 30, 2018","Washington, District of Columbia (3)",0,4,4,Four people were injured in a drive-by shooting.[279]
"April 29, 2018","Wartburg, Tennessee",0,4,4,A man shot and wounded two people at an apartment complex. Two more people were wounded by gunfire while trying to disarm the shooter. The shooter was arrested.[280]
"April 29, 2018","Bryn Mawr-Skyway, Washington",2,2,4,Two people were killed and two others were injured in a shooting in a parking lot outside a motorcycle club.[281]
"April 29, 2018","Monroe, North Carolina",1,3,4,A man killed one person and wounded three others in a shooting. He was later arrested by police.[282]
"April 29, 2018","West Palm Beach, Florida",1,3,4,A man killed one person and injured three others in a shooting at a nightclub. He was later arrested by police.[283]
"April 28, 2018","Maxton, North Carolina",0,5,5,Five were injured in a shooting following an argument at a party.[284]
"April 25, 2018","Pine Bluff, Arkansas (1)",0,4,4,Four people were injured after men stepped out of a truck and began shooting at them.[285]
"April 25, 2018","St. Louis, Missouri (2)",3,1,4,Three people were killed and one was wounded after being shot in a home. A suspect was later taken into custody by police.[286]
"April 24, 2018","Flint, Michigan",0,4,4,Four people were injured in a shooting.[287]
"April 22, 2018","New Orleans, Louisiana (3)",1,5,6,"After a domestic issue, a man went on a shooting spree that resulted in one death and five people being injured by gunfire. The man was arrested.[288]"
"April 22, 2018","Nashville, Tennessee (2)",4,2,6,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.[289]"
"April 21, 2018","Philadelphia, Pennsylvania (2)",2,2,4,A man killed two people and wounded two others after being kicked out of a party.[290]
"April 20, 2018","San Francisco, California (2)",1,5,6,"A gunman shot six men standing near each, killing one and injuring five.[291]"
"April 18, 2018","Asheville, North Carolina",4[n 1],3,7,"A man killed a mother and two of her children, wounded her other three children, and then killed himself.[292]"
"April 15, 2018","Shreveport, Louisiana (1)",0,6,6,Six people in a tattoo parlor were injured when they were shot at by a person in a pickup truck outside the business.[293]
"April 9, 2018","Vallejo, California (1)",0,4,4,Four people were injured in a shooting outside an apartment complex.[294]
"April 8, 2018","Hickory, North Carolina",1,3,4,"Several people fired hundreds of rounds outside of a bar, killing one person and injuring three others. Three men were arrested.[295]"
"April 8, 2018","Miami, Florida (2)",2,2,4,Two people were killed and two were wounded in a shooting in the Liberty City neighborhood of Miami.[296]
"April 6, 2018","Jacksonville, Florida (1)",0,4,4,Four people were wounded in a shooting.[297]
"April 6, 2018","Virginia Beach, Virginia (1)",1,3,4,One person was killed and three others were injured in a shooting.[298]
"April 4, 2018","New Orleans, Louisiana (2)",2,2,4,Two people were killed and two others were injured in a shooting.[299]
"April 3, 2018","San Bruno, California",1[n 1],4[n 9],5,"YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation.[300]"
"April 2, 2018","Houston, Texas (1)",1,3,4,One person was killed and three others were wounded in a drive-by shooting outside of a home.[301]
"April 1, 2018","Mobile, Alabama",1,4,5,A fifteen-year-old was killed and four other people were wounded in a shooting at a spring break party.[302]
"April 1, 2018","Saginaw, Michigan (2)",0,5,5,Five people were injured in a shooting at a house party.[303]
"March 31, 2018","Asbury Park, New Jersey",0,5,5,Five people were wounded in a drive-by shooting.[304]
"March 29, 2018","Plano, Texas",1,3,4,One person was killed and three others were injured in a shooting at an apartment complex. One person was arrested.[305]
"March 29, 2018","Camden, New Jersey",0,4,4,Four people were wounded in a shooting inside a business.[306]
"March 24, 2018","West Valley City, Utah",0,4,4,Four people were injured in a drive-by shooting directed at a traveling rap group. The shooting may have been gang-related.[307]
"March 21, 2018","San Francisco, California (1)",1,5[n 1],6,"A police officer, the suspect, and four others were all wounded by gunfire. One of the wounded victims later died of his injuries.[308]"
"March 17, 2018","Louisville, Kentucky",0,7,7,Seven people were injured in a shooting in a nightclub.[309]
"March 17, 2018","Harvey, Illinois",0,4,4,"Four men were wounded in a shooting in a strip club, which seemed to stem from an earlier incident at a different nightclub.[310]"
"March 13, 2018","Macclenny, Florida",0,4,4,Four people were injured in a drive-by shooting. Two people were later arrested.[311]
"March 12, 2018","Modesto, California (1)",0,4,4,Four people were injured when shots were fired through the garage door of the garage they were in.[312]
"March 11, 2018","Champaign, Illinois",1,3,4,Three people were wounded and one other was fatally injured in a nightclub shooting following a verbal argument.[313]
"March 11, 2018","South Bend, Indiana",0,6,6,Six people were wounded when a man began shooting at a house party. He was arrested.[314]
"March 11, 2018","Saginaw, Michigan (1)",0,5,5,Five people were injured in a shooting following an argument at a party.[315]
"March 9, 2018","Yountville, California",5[n 1][n 10],0,5,"Yountville Shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.[316]"
"March 9, 2018","Wadesboro, North Carolina",3,1,4,A man killed three people and injured one other in a shooting at a restaurant and bar. He was arrested two days later.[317]
"March 7, 2018","Hurtsboro, Alabama",2,2,4,A man entered a restaurant and killed the restaurant's owner and wounded three others. He was later taken into custody by police.[318]
"March 4, 2018","Rockford, Illinois",1,4,5,One man was killed and four other people were injured in a shooting at a party.[319]
"March 3, 2018","Miami, Florida (1)",0,4,4,Four people were injured in a shooting.[320]
"March 3, 2018","New York City, New York (1)",1,3,4,One person was killed and three were injured in a shooting or series of shootings in a close vicinity in Brooklyn.[321]
"February 27, 2018","Bridgeport, Connecticut",0,4,4,Four people were wounded after being shot by at least three shooters.[322]
"February 26, 2018","Detroit, Michigan (2)",5[n 1],0,5,"A man shot and killed the mother of his child and another woman who was sitting with her in a car at a gas station. He then killed another man at the gas station before returning home and killing his cousin. After being urged by his mother to turn himself in to police, the suspect killed himself.[323][324]"
"February 23, 2018","Palm Beach Gardens, Florida (1)",1,3,4,One person was killed and three were injured after a drug deal.[325]
"February 18, 2018","San Antonio, Texas (1)",0,5,5,Five people were injured in a shooting outside a Texas Roadhouse.[326]
"February 17, 2018","Kansas City, Kansas",1,7,8,One person was killed and seven others were injured at a party in what police suspect to be a gang-related shooting.[327]
"February 17, 2018","Memphis, Tennessee (1)",0,5,5,Five people were wounded in a shooting outside a nightclub.[328]
"February 16, 2018","Oklahoma City, Oklahoma (1)",1,3,4,One person was killed and three were injured inside a home. The man who died had been receiving threats after falling out with a gang. Two people were arrested.[329]
"February 14, 2018","Parkland, Florida",17,17,34,"Parkland high school shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.[330][331]"
"February 13, 2018","New Orleans, Louisiana (1)",3,5,8,A series of shootings left three people dead and five others wounded during the Mardi Gras celebration in New Orleans.[332]
"February 11, 2018","Detroit, Michigan (1)",4[n 1],3,7,Three women were killed and three police officers were wounded before a gunman killed himself in a murder–suicide in a home.[333]
"February 10, 2018","Paintsville, Kentucky",5[n 1],0,5,A gunman killed two people in a home and two other people in an apartment building before killing himself in a murder–suicide.[334]
"February 7, 2018","Lake Worth, Florida",3[n 1],3,6,A man killed two people and injured three others in a series of shootings before being shot and killed by a police officer.[335]
"February 5, 2018","Colorado Springs, Colorado (1)",2[n 1],4,6,A sheriff's deputy was killed and three detectives and a passerby were wounded in a shooting. The suspect was killed by police.[336]
"February 3, 2018","Cleveland, Ohio (1)",1,5,6,One person was killed and five others were injured in a shooting at a sports bar.[337]
"January 31, 2018","St. Louis, Missouri (1)",0,4,4,Three people in a car and a man standing at a bus stop were injured when they were shot at by someone in another vehicle.[338]
"January 28, 2018","Melcroft, Pennsylvania",5[n 1],0,5,"A man shot his ex-girlfriend and three other people at a car wash. The suspect also sustained a gunshot injury, suspected to be self-inflicted, and later died of his injuries.[339]"
"January 28, 2018","Reading, Pennsylvania",4,0,4,Four men were killed in a shooting in an apartment.[340]
"January 28, 2018","Indianapolis, Indiana (1)",2,3,5,Two were killed and three people were injured in a shooting at a bar.[341]
"January 27, 2018","Los Angeles, California (1)",0,5,5,Five people were injured in a gang-related drive-by shooting.[342]
"January 27, 2018","Bowling Green, Kentucky",0,4,4,Four people were wounded in a fight in and outside a club.[343]
"January 25, 2018","Washington, District of Columbia (2)",0,4,4,Four people were injured in a shooting.[344]
"January 23, 2018","Philadelphia, Pennsylvania (1)",0,4,4,Four people were injured in a drive-by shooting.[345]
"January 23, 2018","Benton, Kentucky",2,16,18,Marshall County High School Shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.[346]
"January 21, 2018","Orlando, Florida (1)",0,4,4,Four children were injured in a shooting. Two teenage suspects were arrested by police.[347]
"January 21, 2018","Chicago, Illinois (1)",0,4,4,Four people were injured after being shot near the entrance to a party.[348]
"January 17, 2018","Washington, District of Columbia (1)",1,3,4,A man killed one person and injured three others after determining them to be acquaintances of a person who stole his favorite pistol. The man was later taken into custody.[349]
"January 15, 2018","Alachua, Florida",0,5,5,Five people were injured in a gang-related drive-by shooting believed to be related to a murder that had happened the previous day. Two suspects were arrested.[350]
"January 14, 2018","Eutaw, Alabama",1,4,5,One person was killed and four were injured in a shooting following a fight at a biker club party.[351]
"January 14, 2018","Madison, Alabama",0,4,4,Four people were injured in a shooting at a hotel. A suspect was arrested.[352]
"January 12, 2018","Nashville, Tennessee (1)",3,2,5,"A man wounded his stepmother and killed her two daughters before highjacking a car, killing the driver and wounding the passenger. A suspect was arrested after abandoning the car.[353]"
"January 11, 2018","St. Robert, Missouri",2,2,4,"Four people were discovered in a vehicle, two deceased and two wounded, after police responded to calls of an abandoned car.[354]"
"January 7, 2018","Union Springs, Alabama",1,5,6,A shooting on US Highway 29 led to the shooting of another person at a local hospital. One person was killed and five others were wounded. Three suspects were arrested.[355][356]
"January 7, 2018","Plantation, Florida",0,4,4,Four people were wounded while leaving a private party.[357]
"January 5, 2018","Hattiesburg, Mississippi",0,6,6,Six people were wounded in a drive-by shooting behind a bar.[358]
"January 4, 2018","Brinkley, Arkansas",1,3,4,A 33-year-old was killed and three others wounded in a common area of an apartment complex.[359]
"January 1, 2018","Huntsville, Alabama (1)",1,3,4,A 21-year-old was killed and three others were wounded shortly after midnight at a New Year's Eve party.[360]
