"NAME","total_populationE","median_incomeE","unemployment_rate","bachelors_and_higher","poverty_rate","uninsured_rate","vacancy_rate"
"Alabama",5028092,59609,5.15217436094666,18.5526637141882,15.292023296312,47.22777546632,15.8372951604758
"Alaska",734821,86370,6.35979867309779,20.3310738261427,10.2374591907417,49.2928209727267,18.9498080861344
"Arizona",7172282,72581,5.36615937658898,21.6312465126162,12.7836022063828,48.4334692919213,11.5771097125414
"Arkansas",3018669,56335,5.14713705283074,16.6291501320615,15.759561581611,47.6852215330664,14.5814454815125
"California",39356104,91905,6.40647820069436,24.4611941263292,11.9048165946507,48.3361386584404,7.68570458392775
"Colorado",5770790,87598,4.53310586135267,30.1811190495582,9.35929049575535,48.9491560081029,8.88170249530518
"Connecticut",3611317,90213,5.90734631528953,28.8876883419539,9.84937074203123,48.0179668525361,7.93590155498612
"Delaware",993635,79325,5.44372919863683,24.2903078092056,10.8480478244023,47.9014930029639,13.8534312466228
"District of Columbia",670587,101722,7.10754359229698,45.2636272400151,14.6198778085468,47.2729116430828,9.87150799721439
"Florida",21634529,67917,5.03897776665786,23.2843802608321,12.5985317267596,47.3814012775596,15.7575915264659
"Georgia",10722325,71355,5.24574542870382,22.4550832025703,13.2021086844504,47.3394809427992,10.8496469216903
"Hawaii",1450589,94814,5.0511685213732,24.4716456556613,9.37143463792983,47.4055021787701,13.7227144112838
"Idaho",1854109,70214,3.76304101840314,19.7519671173593,10.7214840119971,49.4228224985694,11.0102164118823
"Illinois",12757634,78433,5.95590664182562,25.1414172878764,11.5059971151391,48.0620622914876,8.44971134200311
"Indiana",6784403,67173,4.49252553383647,18.8616153845814,11.9494965142843,48.3852153240307,9.48640895586535
"Iowa",3188836,70571,3.8232900683104,20.2371335496714,10.7606976338702,48.9769934860244,8.95689961780131
"Kansas",2935922,69747,4.00632703140919,22.7616741861671,11.2356527182943,48.6020405174252,10.1609794861045
"Kentucky",4502935,60183,5.08717619967441,18.0313284557738,15.6510809061201,47.9243426787195,11.5095923273386
"Louisiana",4640546,57852,6.57665164668449,17.5748500284234,18.1452354959955,46.5613098113886,15.1466733577809
"Maine",1366949,68251,4.03885796453467,25.1115440298065,10.6434841387645,48.3484021715514,21.7889385726399
"Maryland",6161707,98461,5.11956509224095,29.1923325792674,9.06513406106457,47.3617132395292,8.41346068370159
"Massachusetts",6984205,96505,5.31672670734252,32.3417053193599,9.62687950883458,48.1670139980141,8.61260274849516
"Michigan",10057921,68505,6.02693348167618,21.479100899679,12.8571699857257,48.3507675194506,12.4702676398177
"Minnesota",5695292,84313,3.96758516620409,25.9835667776121,9.06510149084542,49.2496785063874,9.53625484972469
"Mississippi",2958846,52985,6.42314703335314,15.8869707987506,18.5479068528744,46.7848275983272,15.3754135874028
"Missouri",6154422,65920,4.29655933878259,21.2828759548825,12.4557919492683,47.9226318897209,12.0465969953811
"Montana",1091840,66341,3.89299351137758,23.5956733587339,12.1198160902696,49.7316456623681,14.2073323927874
"Nebraska",1958939,71722,3.06896364141311,21.9215605998962,10.131300668372,49.3893888477385,8.44835576393565
"Nevada",3104817,71646,7.01720446995714,18.4230825842554,12.5436056295749,49.328253484827,9.67790759859263
"New Hampshire",1379610,90845,3.56916974443464,28.2288472829278,7.11519922296881,49.0746660288052,14.8701851374671
"New Jersey",9249063,97126,6.24745164234484,29.3604660277479,9.50560072950092,48.2032612384628,8.47042599977638
"New Mexico",2112463,58722,6.23057133390873,19.7354462539699,17.9246216383435,48.3922795334167,13.8151023857312
"New York",19994379,81386,6.22591047459035,27.2047208868052,13.2820429181621,47.5748709174714,10.4765910737973
"North Carolina",10470214,66186,5.07574475695498,23.1980931812855,12.9645678684313,46.8213066132173,13.3895555605721
"North Dakota",776874,73959,2.92376062144603,20.4787391520375,10.4019442020199,49.8531293362888,14.0551485595205
"Ohio",11774683,66990,5.01397084503695,20.8865495572153,12.9643150478021,47.9151498176214,8.7941843487852
"Oklahoma",3970497,61364,4.87303249780434,18.0012225169796,14.7586309723946,47.7740695938065,13.0774482504301
"Oregon",4229374,76632,5.530415762604,25.1611467796416,11.6839513365335,48.817910168266,7.57720640998923
"Pennsylvania",12989208,73170,5.36959977487524,23.7221391789245,11.412851345517,47.9945351556461,9.73566139743632
"Rhode Island",1094250,81370,5.88037440331595,25.5723098012337,10.7866575279872,48.3762394334019,10.5234829304445
"South Carolina",5142750,63623,5.16988177228665,21.1709688396286,13.9584658013709,46.8580623207428,14.3578185740477
"South Dakota",890342,69457,3.10902968875519,20.0890219713324,11.8540965157209,49.4671710421389,11.4569755157921
"Tennessee",6923772,64035,5.03750533760633,20.4176278479418,13.6281639545612,47.3225721470898,11.0531491223757
"Texas",29243342,73035,5.22011689275041,20.8655597571577,13.6452461555181,48.3138110548377,9.99074128970377
"Utah",3283809,86833,3.35208441168737,21.5645002495578,8.38014634834121,50.0286100683688,8.58681946649648
"Vermont",643816,74014,3.84000091252064,29.7491829963841,10.0555127551971,49.1775600482125,20.6720813515626
"Virginia",8624511,87249,4.43437673463159,28.115472285907,9.70125726548438,47.0601869485702,9.25469307930273
"Washington",7688549,90325,4.98872523635222,26.3956567097381,9.72274482480374,48.8307091494117,7.36794452409224
"West Virginia",1792967,55217,6.06125951398149,16.1062083128133,16.27804638903,48.4793640931484,16.6563850911724
"Wisconsin",5882128,72458,3.3617020732085,22.0374837133772,10.3986346437888,48.9289250420936,11.3008504994129
"Wyoming",577929,72495,3.8269456257036,19.6531061774024,10.4050843615738,50.3802370187341,14.3199007651185
"Puerto Rico",3272382,24002,13.2873626633585,20.7326345151636,41.815411525916,45.9659966348672,21.9732984289844
